video_title,average_completion_percent,median_completion_percent,views
AMS101LL_Y1_01_10,61.626875,93.2,160
AMS101LL_Y1_01_11,59.99533333333333,83.55000000000001,150
AMS101LL_Y1_01_12,51.12758620689655,46.6,203
AMS101LL_Y1_01_13,69.2265625,100.0,128
AMS101LL_Y1_01_14,65.43529411764706,97.4,102
AMS101LL_Y1_01_15,57.34111111111111,59.3,90
AMS101LL_Y1_01_16,55.26486486486486,68.4,74
AMS101LL_Y1_01_17,55.79480519480519,70.9,77
AMS101_Y1_01_01,87.80088593576966,100.0,903
AMS101_Y1_01_02,90.13041825095057,100.0,789
AMS101_Y1_01_03,88.5848787446505,100.0,701
AMS101_Y1_01_04,81.39334415584416,100.0,616
AMS101_Y1_01_05,87.30696798493409,100.0,531
AMS101_Y1_01_06,86.65075187969924,100.0,532
AMS101_Y1_01_07,73.83671875,100.0,384
AMS101_Y1_01_08,79.37403508771929,100.0,285
AMS101_Y1_01_09,72.87142857142857,100.0,252
AMS101_Y1_01_10,76.80738916256158,100.0,203
AMS101_Y1_01_11,68.1440414507772,100.0,193
AMS101_Y1_01_12,68.52558139534884,100.0,172
AMS102LL_Y1_01_01,63.09837587006961,82.0,431
AMS102LL_Y1_01_02,57.61767068273092,73.9,249
AMS102LL_Y1_01_03,56.466203703703705,71.05,216
AMS102LL_Y1_01_04,52.59787234042553,54.0,141
AMS102LL_Y1_01_05,51.67005988023952,45.3,167
AMS102LL_Y1_01_06A,50.83968253968254,46.2,126
AMS102LL_Y1_01_06B,56.49565217391305,72.7,92
AMS102LL_Y1_01_07,49.49716312056738,37.3,141
AMS102LL_Y1_01_08,46.472072072072066,30.0,111
AMS102LL_Y1_01_09,48.72537313432836,38.65,134
AMS102LL_Y1_01_10,43.065934065934066,29.5,91
AMS102LL_Y1_01_11,47.28658536585366,31.0,82
AMS102LL_Y1_01_12,40.73,18.95,70
AMS102LL_Y1_01_13,41.262068965517244,24.7,87
AMS102LL_Y1_01_14,39.998275862068965,8.2,58
AMS102LL_Y1_01_15,43.548648648648644,20.6,74
AMS102LL_Y1_01_16,35.66206896551724,8.2,58
AMS102LL_Y1_01_17,35.18888888888889,9.2,63
AMS102LL_Y1_01_18,26.78333333333333,7.5,48
AMS102LL_Y1_01_19,33.30701754385965,9.5,57
AMS102LL_Y1_01_20,32.111111111111114,6.3,45
AMS102LL_Y1_01_21,28.188636363636363,5.4,44
AMS102LL_Y1_01_22,28.231034482758623,5.6,29
AMS102LL_Y1_01_23,32.511428571428574,9.4,35
AMS102LL_Y1_01_24,33.56666666666666,7.7,27
AMS102LL_Y1_02_01,74.58357487922706,98.2,207
AMS102LL_Y1_02_03,71.77062937062938,100.0,143
AMS102LL_Y1_02_06,69.80434782608695,96.75,92
AMS102LL_Y1_02_07,74.23260869565217,97.1,92
AMS102LL_Y1_02_08,72.37808219178083,94.4,73
AMS102LL_Y1_02_09,72.22,97.1,65
AMS102_Y1_01_01,85.97752808988764,100.0,534
AMS102_Y1_01_02,72.4277628032345,100.0,371
AMS102_Y1_01_03,81.71583011583012,100.0,259
AMS102_Y1_01_04,73.48814814814814,100.0,270
AMS102_Y1_01_05,60.175362318840584,86.45,276
AMS102_Y1_01_06,62.89913793103448,97.9,232
AMS102_Y1_01_07,49.878235294117644,33.1,170
AMS102_Y1_01_08,51.420930232558135,53.3,172
AMS102_Y1_01_09,54.438311688311686,52.65,154
AMS102_Y1_01_10,44.56375838926174,28.3,149
AMS102_Y1_01_11,44.562400000000004,21.3,125
AMS102_Y1_01_12,37.63211678832117,17.8,137
AMS102_Y1_01_13,40.607920792079206,17.1,101
AMS102_Y1_02_05_A,83.11153846153846,100.0,156
AMS102_Y1_02_05_B,91.84615384615384,100.0,130
AMS102_Y1_02_05_C,91.96854838709677,100.0,124
AMS102_Y1_02_05_D,86.98629032258064,100.0,124
AMS102_Y1_02_06_A,84.46524822695035,100.0,141
AMS102_Y1_02_06_B,89.86311475409835,100.0,122
AMS102_Y1_02_06_C,89.25294117647059,100.0,119
